id,predicted_label
0,6
1,6
2,6
3,2
4,6
5,6
6,6
7,2
8,6
9,6
10,6
11,2
12,6
13,6
14,6
15,2
16,6
17,6
18,6
19,6
20,6
21,6
22,6
23,6
24,6
25,6
26,6
27,6
28,6
29,6
30,6
31,6
32,6
33,6
34,6
35,6
36,6
37,6
38,6
39,6
40,6
41,6
42,6
43,6
44,6
45,3
46,6
47,6
48,6
49,2
50,6
51,6
52,2
53,6
54,6
55,2
56,6
57,2
58,6
59,6
60,6
61,2
62,6
63,6
64,6
65,6
66,2
67,6
68,6
69,6
70,6
71,6
72,6
73,6
74,6
75,6
76,6
77,6
78,6
79,6
80,6
81,6
82,6
83,6
84,2
85,2
86,6
87,6
88,6
89,6
90,6
91,6
92,6
93,6
94,6
95,2
96,6
97,6
98,6
99,6
100,6
101,6
102,6
103,6
104,6
105,6
106,6
107,6
108,6
109,2
110,2
111,6
112,6
113,6
114,6
115,6
116,2
117,6
118,6
119,6
120,6
121,2
122,6
123,6
124,6
125,2
126,2
127,6
128,6
129,6
130,6
131,6
132,6
133,6
134,6
135,6
136,6
137,6
138,2
139,6
140,6
141,6
142,6
143,6
144,6
145,2
146,2
147,6
148,6
149,6
150,6
151,6
152,6
153,6
154,6
155,6
156,6
157,6
158,6
159,6
160,6
161,6
162,6
163,6
164,6
165,6
166,6
167,6
168,6
169,6
170,6
171,6
172,6
173,6
174,6
175,6
176,6
177,6
178,6
179,6
180,6
181,6
182,6
183,2
184,6
185,2
186,6
187,6
188,6
189,6
190,6
191,6
192,6
193,6
194,6
195,6
196,6
197,6
198,6
199,6
200,6
201,2
202,6
203,6
204,6
205,6
206,6
207,6
208,6
209,6
210,6
211,6
212,6
213,6
214,6
215,6
216,6
217,6
218,6
219,6
220,6
221,6
222,6
223,6
224,6
225,6
226,2
227,6
228,6
229,6
230,6
231,6
232,6
233,2
234,6
235,6
236,6
237,6
238,6
239,6
240,6
241,6
242,6
243,2
244,6
245,6
246,6
247,6
248,6
249,2
250,6
251,6
252,6
253,6
254,6
255,6
256,6
257,6
258,6
259,6
260,6
261,3
262,2
263,6
264,6
265,6
266,6
267,2
268,6
269,2
270,6
271,2
272,6
273,6
274,2
275,6
276,6
277,6
278,2
279,6
280,6
281,6
282,6
283,6
284,6
285,6
286,6
287,6
288,6
289,6
290,6
291,6
292,6
293,2
294,6
295,2
296,6
297,2
298,6
299,6
300,6
301,6
302,6
303,6
304,6
305,6
306,6
307,6
308,6
309,6
310,6
311,6
312,6
313,6
314,6
315,2
316,6
317,6
318,6
319,6
320,6
321,6
322,6
323,6
324,6
325,6
326,6
327,6
328,6
329,6
330,6
331,6
332,6
333,6
334,6
335,6
336,6
337,6
338,6
339,6
340,6
341,2
342,6
343,6
344,6
345,6
346,2
347,2
348,6
349,6
350,2
351,6
352,6
353,6
354,6
355,6
356,6
357,2
358,6
359,6
360,2
361,6
362,6
363,6
364,6
365,6
366,6
367,2
368,6
369,6
370,6
371,6
372,6
373,6
374,2
375,6
376,6
377,6
378,6
379,6
380,6
381,6
382,6
383,6
384,6
385,6
386,6
387,2
388,2
389,6
390,6
391,6
392,6
393,6
394,6
395,6
396,6
397,6
398,6
399,6
400,6
401,2
402,2
403,2
404,6
405,6
406,2
407,2
408,6
409,6
410,6
411,6
412,6
413,2
414,6
415,2
416,6
417,6
418,6
419,2
420,6
421,6
422,2
423,6
424,6
425,6
426,6
427,6
428,2
429,6
430,6
431,6
432,6
433,6
434,6
435,6
436,6
437,6
438,6
439,6
440,6
441,6
442,2
443,6
444,6
445,6
446,5
447,6
448,6
449,6
450,6
451,6
452,6
453,6
454,6
455,6
456,6
457,3
458,6
459,6
460,6
461,6
462,6
463,6
464,6
465,2
466,6
467,6
468,6
469,6
470,2
471,6
472,6
473,6
474,6
475,6
476,6
477,6
478,6
479,6
480,6
481,6
482,6
483,6
484,6
485,2
486,6
487,6
488,2
489,6
490,6
491,6
492,2
493,6
494,6
495,6
496,6
497,3
498,6
499,6
500,6
501,6
502,6
503,6
504,6
505,6
506,6
507,6
508,6
509,6
510,6
511,2
512,6
513,6
514,6
515,6
516,2
517,6
518,6
519,6
520,6
521,6
522,6
523,6
524,6
525,6
526,6
527,6
528,6
529,6
530,2
531,6
532,6
533,6
534,6
535,6
536,6
537,6
538,6
539,6
540,6
541,6
542,4
543,6
544,6
545,6
546,2
547,6
548,6
549,6
550,6
551,6
552,6
553,6
554,2
555,6
556,6
557,6
558,6
559,6
560,2
561,6
562,6
563,6
564,6
565,2
566,6
567,6
568,6
569,6
570,6
571,6
572,6
573,3
574,6
575,6
576,6
577,6
578,6
579,6
580,6
581,2
582,6
583,6
584,6
585,6
586,6
587,6
588,6
589,6
590,6
591,6
592,6
593,6
594,6
595,2
596,6
597,6
598,6
599,6
600,6
601,6
602,6
603,6
604,6
605,2
606,6
607,6
608,6
609,6
610,6
611,2
612,6
613,6
614,6
615,6
616,6
617,6
618,6
619,6
620,6
621,6
622,6
623,6
624,6
625,6
626,2
627,6
628,2
629,6
630,6
631,2
632,6
633,6
634,6
635,6
636,6
637,6
638,6
639,6
640,6
641,2
642,6
643,6
644,2
645,6
646,6
647,5
648,6
649,6
650,6
651,2
652,6
653,2
654,6
655,6
656,6
657,6
658,2
659,6
660,2
661,6
662,2
663,6
664,6
665,6
666,6
667,6
668,6
669,6
670,6
671,6
672,3
673,6
674,6
675,6
676,6
677,6
678,6
679,2
680,6
